Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,xG,xGA,xGDiff,xGDiff/90,Attendance,Top Team Scorer,Goalkeeper
1,Liverpool,eng ENG,1,38,32,3,3,85,33,52,99,2.61,70.4,40.0,30.4,0.80,41955,Mohamed Salah - 19,Alisson
2,Paris S-G,fr FRA,1,27,22,2,3,75,24,51,68,2.52,71.1,22.6,48.4,1.79,47517,Kylian Mbappé - 18,Keylor Navas
3,Bayern Munich,de GER,1,34,26,4,4,100,32,68,82,2.41,82.3,34.4,48.0,1.41,57353,Robert Lewandowski - 34,Manuel Neuer
4,Real Madrid,es ESP,1,38,26,9,3,70,25,45,87,2.29,63.8,28.4,35.4,0.93,45833,Karim Benzema - 21,Thibaut Courtois
5,Juventus,it ITA,1,38,26,5,7,76,43,33,83,2.18,69.0,41.9,27.0,0.71,25102,Cristiano Ronaldo - 31,Wojciech Szczęsny
6,Barcelona,es ESP,2,38,25,7,6,86,38,48,82,2.16,66.3,36.0,30.4,0.80,54223,Lionel Messi - 25,Marc-André ter Stegen
7,Inter,it ITA,2,38,24,10,4,81,36,45,82,2.16,72.2,40.6,31.6,0.83,41558,Romelu Lukaku - 23,Samir Handanović
8,Manchester City,eng ENG,2,38,26,3,9,102,35,67,81,2.13,93.2,34.2,59.0,1.55,37097,Raheem Sterling - 20,Ederson
9,Atalanta,it ITA,3,38,23,9,6,98,48,50,78,2.05,82.1,41.3,40.8,1.07,11167,Luis Muriel Duván Zapata - 18,Pierluigi Gollini
10,Lazio,it ITA,4,38,24,6,8,79,42,37,78,2.05,68.0,49.4,18.5,0.49,26363,Ciro Immobile - 36,Thomas Strakosha
11,Dortmund,de GER,2,34,21,6,7,84,41,43,69,2.03,59.2,39.4,19.7,0.58,57297,Jadon Sancho - 17,Roman Bürki
12,Marseille,fr FRA,2,28,16,8,4,41,29,12,56,2.00,34.2,30.5,3.6,0.13,52805,Darío Benedetto - 11,Steve Mandanda
13,RB Leipzig,de GER,3,34,18,12,4,81,37,44,66,1.94,70.7,36.4,34.3,1.01,28819,Timo Werner - 28,Péter Gulácsi
14,M'Gladbach,de GER,4,34,20,5,9,66,40,26,65,1.91,66.2,42.4,23.8,0.70,36078,Marcus Thuram Alassane Pléa - 10,Yann Sommer
15,Leverkusen,de GER,5,34,19,6,9,61,44,17,63,1.85,56.6,45.1,11.6,0.34,21236,Kai Havertz - 12,Lukáš Hrádecký
16,Atlético Madrid,es ESP,3,38,18,16,4,51,27,24,70,1.84,52.5,30.9,21.6,0.57,42236,Álvaro Morata - 12,Jan Oblak
17,Sevilla,es ESP,4,38,19,13,6,54,34,20,70,1.84,47.1,33.6,13.6,0.36,25016,Lucas Ocampos - 14,Tomáš Vaclík
18,Roma,it ITA,5,38,21,7,10,77,51,26,70,1.84,72.6,48.3,24.3,0.64,26956,Edin Džeko - 16,Pau López
19,Rennes,fr FRA,3,28,15,5,8,38,24,14,50,1.79,36.5,29.2,7.2,0.26,25893,M'Baye Niang - 10,Edouard Mendy
21,Lille,fr FRA,4,28,15,4,9,35,27,8,49,1.75,39.6,29.6,10.0,0.36,36404,Victor Osimhen - 13,Mike Maignan
22,Manchester Utd,eng ENG,3,38,18,12,8,66,36,30,66,1.74,59.9,37.4,22.5,0.59,57415,Marcus Rashford Anthony Martial - 17,David de Gea
23,Chelsea,eng ENG,4,38,20,6,12,69,54,15,66,1.74,66.6,37.1,29.6,0.78,32023,Tammy Abraham - 15,Kepa Arrizabalaga
24,Milan,it ITA,6,38,19,9,10,63,46,17,66,1.74,60.1,47.7,12.5,0.33,34078,Ante Rebić - 11,Gianluigi Donnarumma
25,Leicester City,eng ENG,5,38,18,8,12,67,41,26,62,1.63,60.8,44.8,16.0,0.42,25312,Jamie Vardy - 23,Kasper Schmeichel
26,Napoli,it ITA,7,38,18,8,12,61,50,11,62,1.63,62.5,39.3,23.3,0.61,21622,Arkadiusz Milik - 11,Alex Meret
27,Villarreal,es ESP,5,38,18,6,14,63,49,14,60,1.58,57.0,44.6,12.4,0.33,11321,Gerard Moreno - 18,Sergio Asenjo
28,Tottenham,eng ENG,6,38,16,11,11,61,47,14,59,1.55,45.5,51.9,-6.3,-0.17,43757,Harry Kane - 18,Hugo Lloris
29,Wolves,eng ENG,7,38,15,14,9,51,40,11,59,1.55,47.0,34.4,12.5,0.33,24758,Raúl Jiménez - 17,Rui Patrício
30,Hoffenheim,de GER,6,34,15,7,12,53,53,0,52,1.53,49.7,51.8,-2.0,-0.06,20449,Andrej Kramarić - 12,Oliver Baumann
31,Arsenal,eng ENG,8,38,14,14,10,56,48,8,56,1.47,49.1,56.1,-7.1,-0.19,47589,Pierre-Emerick Aubameyang - 22,Bernd Leno
32,Real Sociedad,es ESP,6,38,16,8,14,56,48,8,56,1.47,45.2,39.2,6.1,0.16,21204,Willian José - 11,Álex Remiro
33,Granada,es ESP,7,38,16,8,14,52,45,7,56,1.47,41.0,41.1,-0.1,0.00,11174,Carlos Fernández - 10,Rui Silva
34,Reims,fr FRA,5,28,10,11,7,26,21,5,41,1.46,28.2,26.4,1.9,0.07,12932,Boulaye Dia - 7,Predrag Rajković
35,Nice,fr FRA,6,28,11,8,9,41,38,3,41,1.46,35.1,42.0,-6.9,-0.25,19225,Kasper Dolberg - 11,Walter Benítez
36,Wolfsburg,de GER,7,34,13,10,11,48,46,2,49,1.44,47.3,40.0,7.3,0.21,18621,Wout Weghorst - 16,Koen Casteels
37,Lyon,fr FRA,7,28,11,7,10,42,27,15,40,1.43,37.1,26.0,11.1,0.40,47299,Moussa Dembélé - 16,Anthony Lopes
38,Montpellier,fr FRA,8,28,11,7,10,35,34,1,40,1.43,31.9,34.2,-2.2,-0.08,14147,Andy Delort - 9,Gerónimo Rulli
39,Monaco,fr FRA,9,28,11,7,10,44,44,0,40,1.43,48.0,39.9,8.2,0.29,6451,Wissam Ben Yedder - 18,Benjamin Lecomte
40,Burnley,eng ENG,10,38,15,9,14,43,50,-7,54,1.42,43.9,47.8,-3.9,-0.10,15995,Chris Wood - 14,Nick Pope
