Squad,Country,Annual Avg. Pay ($)
Barcelona,es ESP,"$12,284,555.00"
Real Madrid,es ESP,"$11,154,692.00"
Juventus,it ITA,"$10,106,647.00"
PSG,fr FRA,"$8,934,220.00"
Manchester City,eng ENG,"$8,734,375.00"
Bayern Munich,de GER,"$8,119,896.00"
Manchester Utd,eng ENG,"$7,657,000.00"
Atlético Madrid,es ESP,"$7,039,205.00"
Liverpool,eng ENG,"$6,922,000.00"
Arsenal,eng ENG,"$5,987,800.00"
Chelsea,eng ENG,"$5,967,500.00"
Everton,eng ENG,"$5,127,200.00"
Borussia Dortmund,de GER,"$4,971,358.00"
Tottenham,eng ENG,"$4,951,304.00"
Roma,it ITA,"$4,492,903.00"
Leicester City,eng ENG,"$4,191,200.00"
Inter,it ITA,"$4,075,039.00"
Napoli,it ITA,"$3,823,578.00"
West Ham,eng ENG,"$3,777,800.00"
Crystal Palace,eng ENG,"$3,609,375.00"
Milan,it ITA,"$3,441,220.00"
Bayer Leverkusen  ,de GER,"$3,186,501.00"
Valencia,es ESP,"$3,123,873.00"
Southampton,eng ENG,"$2,874,300.00"
Monaco,fr FRA,"$2,837,450.00"
Wolves,eng ENG,"$2,746,957.00"
Newcastle Utd,eng ENG,"$2,607,800.00"
Watford,eng ENG,"$2,531,389.00"
Sevilla,es ESP,"$2,466,862.00"
Aston Villa,eng ENG,"$2,457,000.00"
RB Leipzig,de GER,"$2,416,364.00"
Lazio,it ITA,"$2,414,578.00"
Wolfsburg,de GER,"$2,410,395.00"
Bournemouth,eng ENG,"$2,397,200.00"
Burnley,eng ENG,"$2,394,167.00"
Lyon,fr FRA,"$2,331,653.00"
Brighton,eng ENG,"$2,256,630.00"
Schalke 04,de GER,"$2,185,181.00"
Athletic Club,es ESP,"$2,092,775.00"
Marseille,fr FRA,"$2,012,208.00"
Borussia Monchengladbach,de GER,"$1,919,327.00"
Torino,it ITA,"$1,822,917.00"
Villarreal,es ESP,"$1,729,542.00"
Hoffenheim,de GER,"$1,699,966.00"
Celta Vigo,es ESP,"$1,609,156.00"
Bologna,it ITA,"$1,573,661.00"
Real Sociedad,es ESP,"$1,567,008.00"
Werder Bremen,de GER,"$1,566,229.00"
Eintracht Frankfurt ,de GER,"$1,538,319.00"
Fiorentina,it ITA,"$1,505,534.00"
Betis,es ESP,"$1,477,191.00"
Cagliari,it ITA,"$1,438,064.00"
Lille,fr FRA,"$1,327,664.00"
Hertha BSC,de GER,"$1,295,360.00"
Atalanta,it ITA,"$1,281,865.00"
Espanyol,es ESP,"$1,255,233.00"
Genoa,it ITA,"$1,249,380.00"
Norwich City,eng ENG,"$1,238,750.00"
Köln,de GER,"$1,224,422.00"
Sampdoria,it ITA,"$1,199,157.00"
Sassuolo,it ITA,"$1,144,689.00"
Lecce,it ITA,"$1,065,068.00"
Parma,it ITA,"$1,040,923.00"
Augsburg,de GER,"$1,017,136.00"
Saint-Étienne,fr FRA,"$1,008,433.00"
SPAL,it ITA,"$989,583.00"
Rennes,fr FRA,"$975,602.00"
Leganés,es ESP,"$947,003.00"
Sheffield Utd,eng ENG,"$910,000.00"
Levante,es ESP,"$875,796.00"
Getafe,es ESP,"$871,133.00"
Mainz 05,de GER,"$871,133.00"
Udinese,it ITA,"$844,804.00"
Bordeaux,fr FRA,"$821,288.00"
Granada,es ESP,"$806,998.00"
Eibar,es ESP,"$792,852.00"
Düsseldorf,de GER,"$755,025.00"
Nice,fr FRA,"$741,889.00"
Freiburg,de GER,"$727,992.00"
Montpellier,fr FRA,"$680,882.00"
Nantes,fr FRA,"$679,511.00"
Union Berlin,de GER,"$676,404.00"
Hellas Verona,it ITA,"$643,241.00"
Alavés,es ESP,"$638,490.00"
Toulouse,fr FRA,"$608,824.00"
Mallorca,es ESP,"$605,463.00"
Brescia,it ITA,"$580,929.00"
Valladolid,es ESP,"$508,204.00"
Angers,fr FRA,"$491,210.00"
Strasbourg,fr FRA,"$465,119.00"
Osasuna,es ESP,"$452,806.00"
Paderborn 07,de GER,"$418,748.00"
Dijon,fr FRA,"$408,983.00"
Amiens,fr FRA,"$406,579.00"
Reims,fr FRA,"$400,121.00"
Metz,fr FRA,"$371,054.00"
Brest,fr FRA,"$354,193.00"
Nîmes,fr FRA,"$298,522.00"
