Team,2016,2017,2018,2019,
Bayern Munich,"$5,498,592.00","$6,739,250.00","$8,358,534.00","$8,119,896.00",
Dortmund,"$2,651,357.00","$3,560,893.00","$4,219,466.00","$4,971,358.00",
Schalke 04,"$2,333,925.00","$2,150,268.00","$2,800,709.00","$2,185,181.00",
Wolfsburg,"$2,254,011.00","$2,311,740.00","$2,544,751.00","$2,410,395.00",
Leverkusen,"$1,861,877.00","$1,973,920.00","$2,919,550.00","$3,186,501.00",
M'Gladbach,"$1,287,123.00","$1,399,561.00","$1,720,315.00","$1,919,327.00",
Hamburger SV,"$1,174,404.00","$1,318,223.00",,,
Hoffenheim,"$1,073,702.00","$1,463,039.00","$1,567,798.00","$1,699,966.00",
Hertha BSC,"$1,039,290.00","$1,300,455.00","$1,094,403.00","$1,295,360.00",
RB Leipzig,"$1,001,275.00","$1,650,197.00","$2,054,481.00","$2,416,364.00",
Werder Bremen,"$815,620.00","$807,579.00","$1,194,729.00","$1,566,229.00",
Köln,"$813,945.00","$1,289,925.00",,"$1,224,422.00",
Eint Frankfurt,"$794,121.00","$830,013.00","$1,197,378.00","$1,538,319.00",
Mainz 05,"$666,037.00","$731,712.00","$819,956.00","$851,855.00",
Augsburg,"$598,026.00","$672,127.00","$744,448.00","$1,017,136.00",
Freiburg,"$438,390.00","$583,334.00","$589,150.00","$727,992.00",
Ingolstadt 04,"$435,874.00",,,,
Darmstadt 98,"$395,076.00",,,,
Stuttgart,,"$699,920.00","$1,563,719.00",,
Hannover 96,,"$584,956.00","$779,180.00",,
Nuremberg,,,,,
Eintracht Braunschweig,,,,,
Düsseldorf,,,"$666,540.00","$755,025.00",
FC Nurnberg,,,"$407,666.00",,
Union Berlin,,,,"$676,404.00",
Paderborn 07,,,,"$418,748.00",
,,,,,
"Source: Global Sports Salaries Surveys (2015, 2016, 2017, 2018, 2019)",,,,,
